Labour force region (QLD),Longitude,Latitude
Brisbane - East SA4,153.190048,-27.460436
Brisbane - North SA4,153.067869,-27.367952
Brisbane - South SA4,153.057145,-27.553168
Brisbane - West SA4,152.90485,-27.457132
Brisbane Inner City SA4,153.025135,-27.43829
Cairns SA4,145.537745,-16.742903
Darling Downs - Maranoa SA4,149.457565,-27.017692
Central Queensland SA4,149.178134,-24.066548
Gold Coast SA4,153.284026,-27.982936
Ipswich SA4,152.579054,-27.616209
Logan - Beaudesert SA4,152.986464,-27.955765
Mackay - Isaac - Whitsunday SA4,148.03586,-20.702662
Moreton Bay - North SA4,152.592361,-26.89535
Moreton Bay - South SA4,152.84545,-27.274276
Queensland - Outback SA4,142.750562,-19.709833
Sunshine Coast SA4,152.934472,-26.520194
Toowoomba SA4,152.09059,-27.598029
Townsville SA4,145.961775,-19.888706
Wide Bay SA4,151.744227,-25.468514
