"Employed persons (a) by occupation (b), Queensland, 1991–92 to 2018–19 (c)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupation,Financial year,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991–92,1992–93,1993–94,1994–95,1995–96,1996–97,1997–98,1998–99,1999–00,2000–01,2001–02,2002–03,2003–04,2004–05,2005–06,2006–07,2007–08,2008–09,2009–10,2010–11,2011–12,2012–13,2013–14,2014–15,2015–16,2016–17,2017–18,2018–19
,— '000 —,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managers,156.2,165.2,162.4,165.8,174.9,179.8,174.2,181.3,181,187.8,201.4,207.1,204.6,219.6,236.4,248.6,274.6,272.4,286.2,272.1,290.1,267.9,272.8,293.2,283.7,275.2,278.7,278.4
Professionals,186.6,188.7,199.5,211.9,230.1,234.8,241.9,248.5,247.6,273.2,277.2,288.3,298.8,329.8,353.4,352.7,378.5,394.5,407.2,434.8,453.1,454.1,448.6,455.2,488.1,507.3,505.1,548
Technicians and trades workers,219.7,221.5,230.4,240.2,242.7,247.9,247.7,255.8,260.7,255.4,260.3,269.3,285.5,307.7,322.4,337.8,344.1,369.3,339.7,349.2,341.1,345.3,361.7,354.1,371.1,357.9,368.3,361.9
Community and personal service workers,89.7,91.5,93,103.1,111.1,122.1,126.7,135.1,139.7,142.8,151.6,171,170.3,157.9,173.7,180.5,185.6,204.8,202.6,211.5,224.5,236.3,233.8,249.2,260.5,257.6,290.1,285.6
Clerical and administrative workers,217.9,230.2,227.2,247.4,246.1,241.1,256.7,250.3,265.5,270.5,261.7,280.7,291.9,304.4,302.4,330.1,325.1,344.2,330.9,322.4,338.3,337.5,336,341.7,337.1,330,344.1,358.4
Sales workers,147.3,151.8,157.4,161.9,165.3,167.7,179.1,174.6,187,182.9,189.6,199.1,204.5,212.6,212.3,213.3,220.6,215.2,221.7,235.8,212.9,222.4,241.8,218.9,225.5,228.1,241.1,223.8
Machinery operators and drivers,101.7,99.2,105.6,110.5,110.6,114.5,118.5,126.8,117.9,114.1,120.7,119.4,127.7,138.7,136,152.7,154.2,150.1,152,161.9,165.4,175.1,168.7,163.8,159.1,162.5,183,189.4
Labourers,190.7,188.7,206.4,214.8,212.5,200,206.9,213.6,223,216.7,223.3,222,229.1,230,242.9,256.9,255.5,255.4,267.2,255,248.3,249.8,250.6,255.7,240.5,251.8,258.8,264.4
Total,"1,309.90","1,336.90","1,381.80","1,455.60","1,493.30","1,507.80","1,551.80","1,586.10","1,622.50","1,643.50","1,685.90","1,756.90","1,812.40","1,900.70","1,979.60","2,072.60","2,138.20","2,205.90","2,207.40","2,242.70","2,273.60","2,288.40","2,313.90","2,331.70","2,365.60","2,370.30","2,469.20","2,510.00"
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Comprises full-time and part-time employment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Based on ANZSCO 2013 v1.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(c) Based on an average of four quarters: August, November, February and May.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: ABS 6291.0.55.003, Labour Force, Australia, Detailed, Quarterly, May 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,
